ts_utc,kind,magic,side,why,reason,ok,signal_time_utc,decision_time_utc,signal_age_seconds,reversal_direction,reversal_brick_price,reversal_brick_index,m1_closed_bar_time_utc,bid_at_decision,ask_at_decision,spread_at_decision,quote_at_decision,chase_price_signed,chase_points_signed,atr_m1_14_at_decision,atr_over_brick_at_decision,ema20_at_decision,ema50_at_decision,shadow_chase_50_pass,shadow_chase_100_pass,requested_price,fill_price,fill_distance_from_brick,adverse_slippage_price,adverse_slippage_points,slippage_usd,bid,ask,spread,bid_after_fill,ask_after_fill,spread_after_fill,latency_ms,retcode,broker_comment,deal,order,request_id,basket_before,positions,recovery,cycle_direction,protection_state,daily_total,trail_armed,peak,floor,trigger_total,final_total,execution_gap,day,bot_value,activate,giveback,daily_loss_limit,balance,equity,margin,margin_free,margin_level
2026-08-31T05:38:27.250,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77865.17,,,,,,77865.17,77875.17,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:38:47.514,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77872.81,,,,,,77872.81,77882.81,10.0,,,,0.2,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:39:07.860,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77873.82,,,,,,77873.82,77883.82,10.0,,,,0.2,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:39:28.094,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77874.37,,,,,,77874.37,77884.37,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:39:48.469,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77849.75,,,,,,77849.75,77859.75,10.0,,,,0.2,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:40:09.042,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77884.12,,,,,,77884.12,77894.12,10.0,,,,0.2,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:40:29.316,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77907.86,,,,,,77907.86,77917.86,10.0,,,,0.2,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:40:49.544,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77905.08,,,,,,77905.08,77915.08,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:41:09.752,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77911.42,,,,,,77911.42,77921.42,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:41:29.916,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77947.83,,,,,,77947.83,77957.83,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
