signal_time_utc,side,verdict,h1_close,h1_ema75,m15_close,m15_ema75
2026-08-19T15:28:00,SELL,blocked,65871.35,64105.61,68264.21,64711.92
2026-08-19T15:28:00,SELL,blocked,65871.35,64105.61,68264.21,64711.92
2026-08-19T15:32:00,BUY,not_filtered_buy,,,,
2026-08-19T15:32:00,BUY,not_filtered_buy,,,,
2026-08-19T15:32:00,BUY,not_filtered_buy,,,,
2026-08-19T15:32:00,BUY,not_filtered_buy,,,,
2026-08-19T15:32:00,BUY,not_filtered_buy,,,,
2026-08-19T15:32:00,BUY,not_filtered_buy,,,,
2026-08-19T15:32:00,BUY,not_filtered_buy,,,,
2026-08-19T15:32:00,BUY,not_filtered_buy,,,,
2026-08-19T15:32:00,BUY,not_filtered_buy,,,,
2026-08-19T15:35:00,SELL,blocked,65871.35,64105.61,68264.21,64711.92
2026-08-19T15:35:00,SELL,blocked,65871.35,64105.61,68264.21,64711.92
2026-08-19T15:35:00,SELL,blocked,65871.35,64105.61,68264.21,64711.92
2026-08-19T15:35:00,SELL,blocked,65871.35,64105.61,68264.21,64711.92
2026-08-19T15:35:00,SELL,blocked,65871.35,64105.61,68264.21,64711.92
2026-08-19T15:35:00,SELL,blocked,65871.35,64105.61,68264.21,64711.92
2026-08-19T15:37:00,BUY,not_filtered_buy,,,,
2026-08-19T15:37:00,BUY,not_filtered_buy,,,,
2026-08-19T15:37:00,BUY,not_filtered_buy,,,,
2026-08-19T15:37:00,BUY,not_filtered_buy,,,,
2026-08-19T15:37:00,BUY,not_filtered_buy,,,,
2026-08-19T15:37:00,BUY,not_filtered_buy,,,,
2026-08-19T15:37:00,BUY,not_filtered_buy,,,,
2026-08-19T15:37:00,BUY,not_filtered_buy,,,,
2026-08-19T15:37:00,BUY,not_filtered_buy,,,,
2026-08-19T15:37:00,BUY,not_filtered_buy,,,,
2026-08-19T15:37:00,BUY,not_filtered_buy,,,,
2026-08-19T15:37:00,BUY,not_filtered_buy,,,,
2026-08-19T15:37:00,BUY,not_filtered_buy,,,,
2026-08-19T15:37:00,BUY,not_filtered_buy,,,,
