ts_utc,kind,magic,side,why,reason,ok,signal_time_utc,decision_time_utc,signal_age_seconds,reversal_direction,reversal_brick_price,reversal_brick_index,m1_closed_bar_time_utc,bid_at_decision,ask_at_decision,spread_at_decision,quote_at_decision,chase_price_signed,chase_points_signed,atr_m1_14_at_decision,atr_over_brick_at_decision,ema20_at_decision,ema50_at_decision,shadow_chase_50_pass,shadow_chase_100_pass,requested_price,fill_price,fill_distance_from_brick,adverse_slippage_price,adverse_slippage_points,slippage_usd,bid,ask,spread,bid_after_fill,ask_after_fill,spread_after_fill,latency_ms,retcode,broker_comment,deal,order,request_id,basket_before,positions,recovery,cycle_direction,protection_state,daily_total,trail_armed,peak,floor,trigger_total,final_total,execution_gap,day,bot_value,activate,giveback,daily_loss_limit,balance,equity,margin,margin_free,margin_level
2026-08-12T00:46:16.943,order_open,770407,BUY,recovery add #3,,True,2026-08-12T00:45:00,2026-08-12T00:46:16.083,76.083,BUY,63621.23,2556,2026-08-12T00:45:00,63662.96,63672.96,10.0,63672.96,51.73,5173.0,18.635,0.3727,63636.4341,63600.3865,False,True,63672.96,63673.86,52.63,0.9,90.0,-0.009,63662.96,63672.96,10.0,63663.86,63673.86,10.0,509.7,10009,ok,534055909,1037992709,3402256321,2,,,,,,,,,,,,,,,,,116.84,112.27,4.79,107.48,2343.8
2026-08-12T01:44:04.547,close_decided,770407,,recovered - own cycle P&L +0.44 (realised +2.49 + floating -2.05),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.84,114.79,4.79,110.0,2396.5
2026-08-12T01:44:05.155,order_close,770407,BUY,recovered - own cycle P&L +0.44 (realised +2.49 + floating -2.05),,True,,,,,,,,,,,,,,,,,,,,63747.94,63746.15,,,,-0.0179,63747.94,63757.94,10.0,,,,602.9,10009,ok,534070130,1038006544,,,,,,,,,,,,,,,,,,,,,,,
2026-08-12T01:44:05.771,order_close,770407,BUY,recovered - own cycle P&L +0.44 (realised +2.49 + floating -2.05),,True,,,,,,,,,,,,,,,,,,,,63746.15,63746.15,,,,0.0,63746.15,63756.15,10.0,,,,608.7,10009,ok,534070132,1038006547,,,,,,,,,,,,,,,,,,,,,,,
2026-08-12T01:44:06.305,order_close,770407,BUY,recovered - own cycle P&L +0.44 (realised +2.49 + floating -2.05),,True,,,,,,,,,,,,,,,,,,,,63746.15,63747.0,,,,0.0085,63746.15,63756.15,10.0,,,,530.1,10009,ok,534070135,1038006550,,,,,,,,,,,,,,,,,,,,,,,
2026-08-12T02:57:21.494,signal_seen,770407,,,,,2026-08-12T02:56:00,2026-08-12T02:57:21.321,81.322,SELL,63721.23,2561,2026-08-12T02:56:00,63680.02,63690.02,10.0,63680.02,41.21,4121.0,16.3293,0.3266,63712.9942,63732.1735,True,True,,,,,,,,,,,,,,,,,,,,0,False,,ACTIVE,5.19,False,,,,,,,,,,,,,,,
2026-08-12T02:57:21.587,signal_skipped,770407,,,combo_big_brick,,2026-08-12T02:56:00,2026-08-12T02:57:21.321,81.322,SELL,63721.23,2561,2026-08-12T02:56:00,63680.02,63690.02,10.0,63680.02,41.21,4121.0,16.3293,0.3266,63712.9942,63732.1735,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-12T04:23:16.659,signal_seen,770407,,,,,2026-08-12T04:22:00,2026-08-12T04:23:16.375,76.376,BUY,63771.23,2563,2026-08-12T04:22:00,63816.44,63826.44,10.0,63826.44,55.21,5521.0,23.5543,0.4711,63751.6791,63742.0327,False,True,,,,,,,,,,,,,,,,,,,,0,False,,ACTIVE,5.19,False,,,,,,,,,,,,,,,
2026-08-12T04:23:17.945,order_open,770407,BUY,new cycle (combo pass),,True,2026-08-12T04:22:00,2026-08-12T04:23:16.835,76.835,BUY,63771.23,2563,2026-08-12T04:22:00,63816.44,63826.44,10.0,63826.44,55.21,5521.0,23.5543,0.4711,63751.6791,63742.0327,False,True,63826.44,63812.47,41.24,-13.97,-1397.0,0.1397,63816.44,63826.44,10.0,63802.47,63812.47,10.0,642.1,10009,ok,534106750,1038042316,3402256325,0,,,,,,,,,,,,,,,,,114.74,114.64,1.6,113.04,7165.0
2026-08-12T04:36:03.980,signal_seen,770407,,,,,2026-08-12T04:35:00,2026-08-12T04:36:03.757,63.758,SELL,63721.23,2565,2026-08-12T04:35:00,63670.39,63680.39,10.0,63670.39,50.84,5084.0,29.6886,0.5938,63723.5091,63734.4091,False,True,,,,,,,,,,,,,,,,,,,,1,False,BUY,ACTIVE,3.77,False,,,,,,,,,,,,,,,
2026-08-12T04:36:03.999,signal_waiting,770407,,,holding_not_in_recovery,,2026-08-12T04:35:00,2026-08-12T04:36:03.757,63.758,SELL,63721.23,2565,2026-08-12T04:35:00,63670.39,63680.39,10.0,63670.39,50.84,5084.0,29.6886,0.5938,63723.5091,63734.4091,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
