position_id,instrumentation,opened,closed,duration_s,duration_min,side,volume,entry,exit,pnl,won,move_pts,move_pct,move_in_atr15,velocity_pts_min,mfe_pts,mae_pts,exit_reason,hour,weekday,spread_at_entry,M5_close,M5_atr,M5_vs_ema21,M5_ema_cross,M5_structure,M5_slope5,M5_donchian,M5_pct_of_range,M15_close,M15_atr,M15_vs_ema21,M15_ema_cross,M15_structure,M15_slope5,M15_donchian,M15_pct_of_range,H1_close,H1_atr,H1_vs_ema21,H1_ema_cross,H1_structure,H1_slope5,H1_donchian,H1_pct_of_range,H4_close,H4_atr,H4_vs_ema21,H4_ema_cross,H4_structure,H4_slope5,H4_donchian,H4_pct_of_range,M5_aligned,M15_aligned,H1_aligned,H4_aligned,entry_candle_dir,entry_candle_range,entry_body_pct,entry_upper_wick_pct,entry_lower_wick_pct,entry_tick_volume,entry_spread_pts
3062519394,False,2026-08-10T02:16:11,2026-08-10T02:17:33,82,1.4,SELL,0.01,64998.23,64973.14,0.25,True,25.1,0.0386,0.13,18.4,59.3,4.4,KL-recov-close,2,Monday,10.0,65056.64,96.7,above,bull,mixed,-128.0,inside,49.8,65056.64,190.9,above,bear,mixed,131.1,inside,43.1,65142.78,209.1,above,bull,HH_HL,52.1,inside,59.2,64844.33,260.1,above,bull,mixed,107.2,inside,60.1,False,False,False,False,down,18.6,60.4,0.0,39.6,73.0,1000.0
3062519400,False,2026-08-10T02:16:12,2026-08-10T02:17:34,82,1.4,SELL,0.01,64999.36,64973.16,0.26,True,26.2,0.0403,0.13,19.2,60.4,3.3,KL-recov-close,2,Monday,10.0,65056.64,96.7,above,bull,mixed,-128.0,inside,49.8,65056.64,190.9,above,bear,mixed,131.1,inside,43.1,65142.78,209.1,above,bull,HH_HL,52.1,inside,59.2,64844.33,260.1,above,bull,mixed,107.2,inside,60.1,False,False,False,False,down,18.6,60.4,0.0,39.6,73.0,1000.0
3062519416,False,2026-08-10T02:16:13,2026-08-10T02:17:35,82,1.4,SELL,0.01,64999.36,64972.6,0.26,True,26.8,0.0412,0.14,19.6,60.4,3.3,KL-d4-close,2,Monday,10.0,65056.64,96.7,above,bull,mixed,-128.0,inside,49.8,65056.64,190.9,above,bear,mixed,131.1,inside,43.1,65142.78,209.1,above,bull,HH_HL,52.1,inside,59.2,64844.33,260.1,above,bull,mixed,107.2,inside,60.1,False,False,False,False,down,18.6,60.4,0.0,39.6,73.0,1000.0
3062566156,False,2026-08-10T02:44:02,2026-08-10T03:24:34,2432,40.5,BUY,0.01,65135.17,65089.4,-0.46,False,-45.8,-0.0703,-0.22,-1.1,-0.9,286.4,KL-recov-close,2,Monday,10.0,64965.28,101.4,below,bear,HH_HL,-91.4,inside,25.0,64903.63,195.5,below,bear,LH_LL,-53.0,inside,20.3,65142.78,209.1,above,bull,HH_HL,52.1,inside,59.2,64844.33,260.1,above,bull,mixed,107.2,inside,60.1,False,False,True,True,up,43.7,35.6,64.4,0.0,92.0,1000.0
3062566398,False,2026-08-10T02:44:09,2026-08-10T03:25:49,2500,41.7,BUY,0.01,65163.12,65096.61,-0.66,False,-66.5,-0.1021,-0.32,-1.6,-28.9,314.3,KL-recov-close,2,Monday,10.0,64965.28,101.4,below,bear,HH_HL,-91.4,inside,25.0,64903.63,195.5,below,bear,LH_LL,-53.0,inside,20.3,65142.78,209.1,above,bull,HH_HL,52.1,inside,59.2,64844.33,260.1,above,bull,mixed,107.2,inside,60.1,False,False,True,True,up,43.7,35.6,64.4,0.0,92.0,1000.0
3062566408,False,2026-08-10T02:44:10,2026-08-10T03:25:47,2497,41.6,BUY,0.01,65163.12,65099.77,-0.63,False,-63.3,-0.0972,-0.31,-1.5,-28.9,314.3,KL-d4-close,2,Monday,10.0,64965.28,101.4,below,bear,HH_HL,-91.4,inside,25.0,64903.63,195.5,below,bear,LH_LL,-53.0,inside,20.3,65142.78,209.1,above,bull,HH_HL,52.1,inside,59.2,64844.33,260.1,above,bull,mixed,107.2,inside,60.1,False,False,True,True,up,43.7,35.6,64.4,0.0,92.0,1000.0
3062566545,False,2026-08-10T02:44:19,2026-08-10T03:04:12,1193,19.9,BUY,0.01,65158.25,64999.77,-1.58,False,-158.5,-0.2432,-0.77,-8.0,-24.0,176.8,[sl 64999.77],2,Monday,10.0,64965.28,101.4,below,bear,HH_HL,-91.4,inside,25.0,64903.63,195.5,below,bear,LH_LL,-53.0,inside,20.3,65142.78,209.1,above,bull,HH_HL,52.1,inside,59.2,64844.33,260.1,above,bull,mixed,107.2,inside,60.1,False,False,True,True,up,43.7,35.6,64.4,0.0,92.0,1000.0
3062601379,False,2026-08-10T03:12:07,2026-08-10T03:25:51,824,13.7,SELL,0.01,64960.08,65110.08,-1.5,False,-150.0,-0.2309,-0.73,-10.9,111.3,159.2,[sl 65110.08000],3,Monday,10.0,65026.9,85.8,above,bull,LH_LL,-106.9,inside,37.1,65036.42,201.9,above,bull,mixed,116.4,inside,40.1,65036.42,228.3,above,bull,mixed,-105.2,inside,43.0,64844.33,260.1,above,bull,mixed,107.2,inside,60.1,False,False,False,False,down,35.2,61.3,6.9,31.8,81.0,1000.0
3062613125,False,2026-08-10T03:21:04,2026-08-10T03:25:48,284,4.7,BUY,0.01,65035.78,65096.61,0.61,True,60.8,0.0935,0.28,12.9,83.5,36.3,KL-d4-close,3,Monday,10.0,64979.6,91.6,below,bear,LH_LL,-62.1,inside,27.8,64900.16,206.0,below,bear,LH_LL,-242.6,inside,19.8,65036.42,228.3,above,bull,mixed,-105.2,inside,43.0,64844.33,260.1,above,bull,mixed,107.2,inside,60.1,False,False,True,True,down,28.4,82.3,0.0,17.7,68.0,1000.0
3062613137,False,2026-08-10T03:21:04,2026-08-10T03:25:50,286,4.8,BUY,0.01,65035.71,65096.09,0.6,True,60.4,0.0928,0.28,12.7,83.6,36.2,KL-recov-close,3,Monday,10.0,64979.6,91.6,below,bear,LH_LL,-62.1,inside,27.8,64900.16,206.0,below,bear,LH_LL,-242.6,inside,19.8,65036.42,228.3,above,bull,mixed,-105.2,inside,43.0,64844.33,260.1,above,bull,mixed,107.2,inside,60.1,False,False,True,True,down,28.4,82.3,0.0,17.7,68.0,1000.0
3062613334,False,2026-08-10T03:21:12,2026-08-10T03:24:34,202,3.4,BUY,0.01,65019.01,65083.8,0.65,True,64.8,0.0996,0.3,19.2,75.6,19.5,KL-recov-close,3,Monday,10.0,64979.6,91.6,below,bear,LH_LL,-62.1,inside,27.8,64900.16,206.0,below,bear,LH_LL,-242.6,inside,19.8,65036.42,228.3,above,bull,mixed,-105.2,inside,43.0,64844.33,260.1,above,bull,mixed,107.2,inside,60.1,False,False,True,True,down,28.4,82.3,0.0,17.7,68.0,1000.0
3062653119,False,2026-08-10T03:56:05,2026-08-10T09:37:44,20499,341.6,SELL,0.01,64919.58,65021.51,-1.02,False,-101.9,-0.157,-0.55,-0.3,59.9,402.8,KL-recov-close,3,Monday,10.0,64933.62,85.1,below,bear,LH_LL,-36.6,inside,28.2,64976.24,191.8,below,bear,mixed,72.6,inside,35.9,65036.42,228.3,above,bull,mixed,-105.2,inside,43.0,64844.33,260.1,above,bull,mixed,107.2,inside,60.1,True,True,False,False,up,27.2,20.8,79.2,0.0,59.0,1000.0
3062653123,False,2026-08-10T03:56:06,2026-08-10T09:40:28,20662,344.4,SELL,0.01,64919.61,65014.69,-0.95,False,-95.1,-0.1465,-0.51,-0.3,60.0,402.8,KL-d4-close,3,Monday,10.0,64933.62,85.1,below,bear,LH_LL,-36.6,inside,28.2,64976.24,191.8,below,bear,mixed,72.6,inside,35.9,65036.42,228.3,above,bull,mixed,-105.2,inside,43.0,64844.33,260.1,above,bull,mixed,107.2,inside,60.1,True,True,False,False,up,27.2,20.8,79.2,0.0,59.0,1000.0
3062653129,False,2026-08-10T03:56:07,2026-08-10T09:37:54,20507,341.8,SELL,0.01,64919.61,65021.79,-1.02,False,-102.2,-0.1574,-0.55,-0.3,60.0,402.8,KL-recov-close,3,Monday,10.0,64933.62,85.1,below,bear,LH_LL,-36.6,inside,28.2,64976.24,191.8,below,bear,mixed,72.6,inside,35.9,65036.42,228.3,above,bull,mixed,-105.2,inside,43.0,64844.33,260.1,above,bull,mixed,107.2,inside,60.1,True,True,False,False,up,27.2,20.8,79.2,0.0,59.0,1000.0
3062653131,False,2026-08-10T03:56:07,2026-08-10T05:53:10,7023,117.0,SELL,0.01,64919.64,65069.61,-1.5,False,-150.0,-0.231,-0.81,-1.3,60.0,143.0,[sl 65069.61],3,Monday,10.0,64933.62,85.1,below,bear,LH_LL,-36.6,inside,28.2,64976.24,191.8,below,bear,mixed,72.6,inside,35.9,65036.42,228.3,above,bull,mixed,-105.2,inside,43.0,64844.33,260.1,above,bull,mixed,107.2,inside,60.1,True,True,False,False,up,27.2,20.8,79.2,0.0,59.0,1000.0
