symbol,tf,state,k,nA,meanA_bp,tA,eocA,nB,meanB_bp,tB,eocB,same_sign,cost_bp
BTCUSDm,H1,bigmove_up,4,586,12.85489125145807,1.359889755102691,3.6164201984873134,608,2.6267983717307315,0.501933633331157,0.7389877131635095,True,3.5545900492523104
BTCUSDm,H1,bigmove_down,1,595,6.4310367737858325,1.2316543925847654,1.809220383976084,663,-0.7903004209055935,-0.2324022316205184,0.22233236743343415,False,3.5545900492523104
BTCUSDm,H1,bigmove_down,4,595,-4.720436720394533,-0.4143395055114667,1.3279834397183023,663,-2.827533784805253,-0.49716194165963057,0.7954598830320841,True,3.5545900492523104
BTCUSDm,H1,hivol,1,5267,0.7676295241826858,0.5091280470971135,0.21595444581412496,5972,0.7524716190069477,0.8806599109085846,0.21169012701344456,True,3.5545900492523104
BTCUSDm,H1,hivol,4,5267,4.414587421063675,1.6244002749671038,1.2419399592907374,5969,3.0724037749534348,1.869026029138066,0.8643482743107603,True,3.5545900492523104
BTCUSDm,H1,lovol,1,6411,0.6412687180377605,0.8221227129689358,0.18040581590348176,6582,0.0729718751875639,0.1454555797422834,0.020528914495474143,True,3.5545900492523104
BTCUSDm,H1,lovol,4,6411,1.9656515700127404,1.2177127952948106,0.5529896676625776,6582,-0.3002948856603899,-0.2874703420435806,0.08448087725996853,False,3.5545900492523104
BTCUSDm,H1,all_bars,1,22541,1.068538695959372,1.5584529323921612,0.3006081379719536,22541,0.1896178679032687,0.5533853757010729,0.05334451097761719,True,3.5545900492523104
BTCUSDm,H1,all_bars,4,22541,4.282994224961952,3.2654506955716167,1.2049193199825836,22538,0.7338303735949885,1.0879964791234142,0.20644585266572327,True,3.5545900492523104
US30m,M15,bigmove_up,1,669,-0.179915044832238,-0.20151465404948016,0.32471573947921084,606,-0.6900657137093038,-1.135073172593725,1.2454500329603075,True,0.554069368860257
US30m,M15,bigmove_up,4,669,2.143648265720016,1.619771533257687,3.868916756993058,606,-1.2379755030477546,-1.1364387346171494,2.234333050380172,False,0.554069368860257
US30m,M15,bigmove_down,1,681,-0.5597025416711057,-0.588023647706049,1.0101669089241232,639,0.8772554902858749,1.361908611994226,1.5832954131545383,False,0.554069368860257
US30m,M15,bigmove_down,4,681,-0.1353765588099562,-0.0979116027352127,0.24433142566323643,639,1.4109924073905886,1.2116660803800534,2.5465988316464,False,0.554069368860257
US30m,M15,hivol,1,6575,0.24687579270671833,1.2846977086699543,0.44556838291665857,6533,0.05699706297154692,0.461520297259914,0.10286990433849857,True,0.554069368860257
US30m,M15,hivol,4,6575,1.1267073326602148,3.1839740073443124,2.033513123055146,6533,0.34081557878022506,1.4233863444050865,0.6151135542491664,True,0.554069368860257
US30m,M15,lovol,1,6516,0.0395250697331623,0.37864766881062034,0.07133595891515707,6469,0.1128260842705008,1.248611825197088,0.20363169417321986,True,0.554069368860257
US30m,M15,lovol,4,6516,0.17943186991606366,0.8184446681306593,0.32384369178386857,6469,0.16595038147160004,0.8489764886507384,0.2995119217887223,True,0.554069368860257
US30m,M15,session_open,1,1108,0.07881446996851081,0.4491137492462809,0.14224657488399936,1100,0.15220790437660206,0.9093086582745101,0.2747091121274216,True,0.554069368860257
US30m,M15,session_open,4,1108,0.07214115769347851,0.20680857541047937,0.1302023929636749,1100,0.24298756670635413,0.8130433270136912,0.43855080313533545,True,0.554069368860257
US30m,M15,all_bars,1,25000,0.05563774387928006,0.7587978212739573,0.10041656696115352,24999,0.06524941284121011,1.140887859239324,0.1177639777767011,True,0.554069368860257
US30m,M15,all_bars,4,25000,0.22358928781236925,1.569172007230569,0.4035402431148674,24996,0.2604572952961782,2.3430347061447456,0.47008066125718045,True,0.554069368860257
US30m,H1,bigmove_up,1,396,-4.895803487139809,-1.4103462206042567,2.8748002277773965,446,-0.18745493359814022,-0.14109947624827723,0.11007294047269038,True,1.7030065045336795
US30m,H1,bigmove_up,4,396,-3.469033235532672,-0.5969829984264904,2.037005276431736,446,0.6166404294432188,0.23271413022065265,0.3620892978398039,False,1.7030065045336795
US30m,H1,bigmove_down,1,475,-0.06593359626633269,-0.01575813064389287,0.03871599790770427,465,-0.534526431050929,-0.4000237414232168,0.3138722192944848,True,1.7030065045336795
US30m,H1,bigmove_down,4,475,-1.518360179639893,-0.18053213438745755,0.891576265620696,465,5.374770670942,1.9419517830294966,3.1560482338931113,False,1.7030065045336795
US30m,H1,hivol,1,4091,0.7259324424344581,1.250583799179017,0.4262652200692764,3966,0.3938388286982296,0.9535792301803622,0.23126090690186257,True,1.7030065045336795
US30m,H1,hivol,4,4091,2.360240035295058,2.1691686781487856,1.3859254377547687,3963,1.5448324346792743,1.888306445296506,0.9071206895374033,True,1.7030065045336795
US30m,H1,lovol,1,4468,0.11744632567998126,0.40356398016785905,0.06896410869090641,3910,0.08048587342333337,0.36648046495298625,0.047261048744715255,True,1.7030065045336795
US30m,H1,lovol,4,4468,1.2735455042584143,2.1740998631929638,0.7478218673082161,3910,0.5767563443631798,1.2505775308637872,0.3386694900035677,True,1.7030065045336795
US30m,H1,session_open,1,1539,1.9784296569160156,0.753694112896922,1.1617275986023041,631,-0.10221741556245438,-0.24509580959586588,0.060021741132717375,False,1.7030065045336795
US30m,H1,session_open,4,1539,8.646667321836722,1.6559753378961206,5.0772955351714115,631,-0.12757526001938754,-0.1840154407176832,0.07491178670178976,False,1.7030065045336795
US30m,H1,all_bars,1,15063,0.2881055062047062,0.9104698524980045,0.16917463640786023,15062,0.22204242404809135,1.431331525659195,0.13038260479744407,True,1.7030065045336795
