symbol,iso_year,iso_week,open,high,low,close,tick_volume,spread_median_points,spread_max_points,n_days,week_start,week_end,days_with_gap,complete_week
EURJPYm,2021,48,128.368,128.778,127.375,127.588,220541,19.0,59,5,2021-11-29,2021-12-03,0,True
EURJPYm,2021,49,127.565,129.097,127.506,128.297,136491,19.0,48,5,2021-12-06,2021-12-10,0,True
EURJPYm,2021,50,128.243,129.63,127.752,127.768,135792,19.0,55,5,2021-12-13,2021-12-17,0,True
EURJPYm,2021,51,127.665,129.722,127.509,129.281,110159,19.0,158,5,2021-12-20,2021-12-24,0,True
EURJPYm,2021,52,129.327,131.011,129.271,131.005,87176,19.0,114,5,2021-12-27,2021-12-31,0,True
EURJPYm,2022,1,130.808,131.592,130.015,131.251,131369,19.0,82,5,2022-01-03,2022-01-07,0,True
EURJPYm,2022,2,131.243,131.467,129.774,130.346,136737,19.0,48,5,2022-01-10,2022-01-14,0,True
EURJPYm,2022,3,130.263,131.168,128.551,128.952,140319,19.0,77,5,2022-01-17,2022-01-21,0,True
EURJPYm,2022,4,128.891,129.236,128.239,128.453,166501,19.0,50,5,2022-01-24,2022-01-28,0,True
EURJPYm,2022,5,128.422,132.082,128.418,131.907,145113,19.0,33,5,2022-01-31,2022-02-04,0,True
EURJPYm,2022,6,132.042,133.143,130.378,131.035,148162,19.0,88,5,2022-02-07,2022-02-11,1,True
EURJPYm,2022,7,130.778,131.897,130.037,130.234,191865,19.0,116,5,2022-02-14,2022-02-18,0,True
EURJPYm,2022,8,130.206,130.9,127.91,130.208,249503,19.0,76,5,2022-02-21,2022-02-25,0,True
EURJPYm,2022,9,128.817,129.775,125.065,125.551,268224,19.0,115,5,2022-02-28,2022-03-04,0,True
EURJPYm,2022,10,125.55,129.031,124.387,127.991,323906,19.0,87,5,2022-03-07,2022-03-11,0,True
EURJPYm,2022,11,128.116,131.909,127.994,131.671,239681,19.0,51,5,2022-03-14,2022-03-18,0,True
EURJPYm,2022,12,131.659,134.733,131.373,134.094,202930,19.0,62,5,2022-03-21,2022-03-25,4,True
EURJPYm,2022,13,134.063,137.532,133.967,135.399,361742,19.0,73,5,2022-03-28,2022-04-01,0,True
EURJPYm,2022,14,135.307,135.673,134.288,135.157,213099,19.0,80,5,2022-04-04,2022-04-08,0,True
EURJPYm,2022,15,135.379,137.119,135.274,136.639,220064,19.0,92,5,2022-04-11,2022-04-15,0,True
EURJPYm,2022,16,136.562,139.993,136.449,138.795,277038,19.0,54,5,2022-04-18,2022-04-22,0,True
EURJPYm,2022,17,138.937,139.179,134.774,136.933,378111,19.0,116,5,2022-04-25,2022-04-29,0,True
EURJPYm,2022,18,136.864,138.148,136.512,137.665,310007,19.0,120,5,2022-05-02,2022-05-06,0,True
EURJPYm,2022,19,137.611,138.309,132.649,134.519,353858,19.0,112,5,2022-05-09,2022-05-13,0,True
EURJPYm,2022,20,134.571,136.686,133.74,135.066,316955,19.0,111,5,2022-05-16,2022-05-20,0,True
EURJPYm,2022,21,135.072,136.793,134.652,136.429,295975,19.0,115,5,2022-05-23,2022-05-27,0,True
EURJPYm,2022,22,136.317,140.361,136.258,140.223,222598,19.0,81,5,2022-05-30,2022-06-03,0,True
EURJPYm,2022,23,140.296,144.244,139.832,141.351,295656,19.0,91,5,2022-06-06,2022-06-10,0,True
EURJPYm,2022,24,141.251,141.965,137.826,141.65,497574,19.0,86,5,2022-06-13,2022-06-17,0,True
EURJPYm,2022,25,141.472,144.236,141.392,142.691,332397,19.0,120,5,2022-06-20,2022-06-24,0,True
EURJPYm,2022,26,142.564,144.265,139.783,141.014,325253,19.0,71,5,2022-06-27,2022-07-01,0,True
EURJPYm,2022,27,140.961,142.363,136.858,138.596,334616,19.0,83,5,2022-07-04,2022-07-08,0,True
EURJPYm,2022,28,138.462,139.881,137.019,139.686,347676,19.0,89,5,2022-07-11,2022-07-15,0,True
EURJPYm,2022,29,139.685,142.31,138.777,138.992,339958,19.0,71,5,2022-07-18,2022-07-22,0,True
EURJPYm,2022,30,138.987,140.07,135.543,136.236,331441,19.0,60,5,2022-07-25,2022-07-29,0,True
EURJPYm,2022,31,136.141,137.751,133.394,137.447,358932,19.0,77,5,2022-08-01,2022-08-05,0,True
EURJPYm,2022,32,137.373,138.386,136.296,136.944,256637,19.0,61,5,2022-08-08,2022-08-12,0,True
EURJPYm,2022,33,136.838,137.956,134.94,137.447,229994,19.0,59,5,2022-08-15,2022-08-19,0,True
EURJPYm,2022,34,137.387,137.962,135.508,137.039,258647,19.0,58,5,2022-08-22,2022-08-26,0,True
EURJPYm,2022,35,137.098,140.74,136.982,139.599,277698,19.0,63,5,2022-08-29,2022-09-02,0,True
EURJPYm,2022,36,139.131,144.715,138.683,143.227,317660,19.0,200,5,2022-09-05,2022-09-09,0,True
EURJPYm,2022,37,143.506,145.629,142.289,143.124,324630,19.0,113,5,2022-09-12,2022-09-16,0,True
EURJPYm,2022,38,143.081,144.03,138.661,138.917,418593,19.0,104,5,2022-09-19,2022-09-23,0,True
EURJPYm,2022,39,138.891,142.284,137.369,141.868,441308,19.0,75,5,2022-09-26,2022-09-30,0,True
EURJPYm,2022,40,141.746,144.079,141.19,141.601,343733,19.0,120,5,2022-10-03,2022-10-07,0,True
EURJPYm,2022,41,141.408,144.833,140.892,144.629,319622,19.0,57,5,2022-10-10,2022-10-14,0,True
EURJPYm,2022,42,144.476,148.392,144.055,145.582,412720,19.0,59,5,2022-10-17,2022-10-21,0,True
EURJPYm,2022,43,145.725,147.709,143.719,146.949,408142,19.0,94,5,2022-10-24,2022-10-28,0,True
EURJPYm,2022,44,146.96,147.746,144.029,146.028,283743,19.0,101,5,2022-10-31,2022-11-04,0,True
EURJPYm,2022,45,145.66,147.098,142.556,143.691,323714,19.0,76,5,2022-11-07,2022-11-11,0,True
EURJPYm,2022,46,143.722,145.537,143.346,144.899,329388,19.0,120,5,2022-11-14,2022-11-18,0,True
EURJPYm,2022,47,144.832,146.124,143.644,144.567,230974,19.0,115,5,2022-11-21,2022-11-25,0,True
EURJPYm,2022,48,144.45,144.996,140.757,141.579,333115,19.0,120,5,2022-11-28,2022-12-02,0,True
EURJPYm,2022,49,141.633,144.571,141.503,143.863,264873,19.0,107,5,2022-12-05,2022-12-09,0,True
EURJPYm,2022,50,143.756,146.721,143.478,144.737,296662,19.0,72,5,2022-12-12,2022-12-16,0,True
EURJPYm,2022,51,144.111,145.822,138.796,140.974,342487,19.0,120,5,2022-12-19,2022-12-23,0,True
EURJPYm,2022,52,140.884,142.932,139.989,140.35,258379,19.0,260,5,2022-12-26,2022-12-30,0,True
EURJPYm,2023,1,139.86,141.439,137.379,140.616,291396,19.0,450,5,2023-01-02,2023-01-06,0,True
EURJPYm,2023,2,140.42,142.846,138.005,138.482,304282,19.0,115,5,2023-01-09,2023-01-13,0,True
EURJPYm,2023,3,138.437,141.681,137.91,140.655,343438,19.0,141,5,2023-01-16,2023-01-20,0,True
EURJPYm,2023,4,140.644,142.287,140.462,141.086,231301,19.0,76,5,2023-01-23,2023-01-27,0,True
EURJPYm,2023,5,140.848,142.337,139.928,141.612,266490,19.0,112,5,2023-01-30,2023-02-03,0,True
EURJPYm,2023,6,142.65,142.799,139.545,140.316,267346,19.0,89,5,2023-02-06,2023-02-10,0,True
EURJPYm,2023,7,140.264,143.662,140.257,143.458,223003,19.0,52,5,2023-02-13,2023-02-17,0,True
EURJPYm,2023,8,143.382,144.155,142.146,143.925,195052,19.0,195,5,2023-02-20,2023-02-24,0,True
EURJPYm,2023,9,143.892,145.559,143.559,144.419,201234,19.0,52,5,2023-02-27,2023-03-03,0,True
EURJPYm,2023,10,144.463,145.431,143.342,143.671,236271,19.0,70,5,2023-03-06,2023-03-10,0,True
EURJPYm,2023,11,143.58,144.956,139.123,140.618,496123,19.0,103,5,2023-03-13,2023-03-17,0,True
EURJPYm,2023,12,140.881,143.618,138.821,140.643,400139,19.0,120,5,2023-03-20,2023-03-24,0,True
