market,report_date,usable_from,open_interest,nc_long,nc_short,nc_spread,c_long,c_short,nr_long,nr_short
nikkei,2018-11-20,2018-11-23,31459,9764,14732,379,15826,12362,5490,3986
nikkei,2018-11-27,2018-11-30,31975,9935,14036,1046,15887,13441,5107,3452
nikkei,2018-12-04,2018-12-07,31683,9061,17472,1094,15698,9869,5830,3248
nikkei,2018-12-11,2018-12-14,41838,11012,16280,4715,19240,14524,6871,6319
nikkei,2018-12-18,2018-12-21,19996,6289,13989,64,8484,3064,5159,2879
nikkei,2018-12-24,2018-12-28,20840,6255,14432,65,9072,3351,5448,2992
nikkei,2018-12-31,2019-01-04,20462,5516,13273,71,9920,3590,4955,3528
nikkei,2019-01-08,2019-01-11,24219,5294,17446,213,13852,3316,4860,3244
nikkei,2019-01-15,2019-01-18,25595,6311,19455,229,14080,2930,4975,2981
nikkei,2019-01-22,2019-01-25,26293,6433,21030,200,14359,2087,5301,2976
nikkei,2019-01-29,2019-02-01,24928,6063,20030,0,13226,2098,5639,2800
nikkei,2019-02-05,2019-02-08,26188,6853,21550,19,13172,2083,6144,2536
nikkei,2019-02-12,2019-02-15,26734,8023,21353,25,13065,2225,5621,3131
nikkei,2019-02-19,2019-02-22,29406,9132,22532,504,13506,3247,6264,3123
nikkei,2019-02-26,2019-03-01,29234,9182,21935,597,13400,3750,6055,2952
nikkei,2019-03-05,2019-03-08,39260,9249,21619,8545,12586,4438,8880,4658
nikkei,2019-03-12,2019-03-15,24124,10044,17721,40,9526,3119,4514,3244
nikkei,2019-03-19,2019-03-22,23372,8081,17647,38,10260,2467,4993,3220
nikkei,2019-03-26,2019-03-29,23990,8395,18495,39,10082,2514,5474,2942
nikkei,2019-04-02,2019-04-05,25560,7184,19349,40,13954,2357,4382,3814
nikkei,2019-04-09,2019-04-12,26159,5805,20069,434,14950,2379,4970,3277
nikkei,2019-04-16,2019-04-19,25905,5365,20765,1,15378,1617,5161,3522
nikkei,2019-04-23,2019-04-26,25644,4680,19671,6,15641,1617,5317,4350
nikkei,2019-04-30,2019-05-03,25512,5179,20657,23,15153,1617,5157,3215
nikkei,2019-05-07,2019-05-10,26300,5066,21364,6,15405,1604,5823,3326
nikkei,2019-05-14,2019-05-17,24823,4574,19905,0,15042,1669,5207,3249
nikkei,2019-05-21,2019-05-24,24729,4829,19149,480,14283,1606,5137,3494
nikkei,2019-05-28,2019-05-31,26640,5835,19396,902,14074,1856,5829,4486
nikkei,2019-06-04,2019-06-07,27877,8189,22057,44,13535,1616,6109,4160
nikkei,2019-06-11,2019-06-14,32437,8578,22750,652,17978,5160,5229,3875
nikkei,2019-06-18,2019-06-21,23461,9288,15253,13,8507,5151,5653,3044
nikkei,2019-06-25,2019-06-28,27590,12690,19230,28,8836,5376,6036,2956
