ts_utc,ts_ms,open_interest,contract_volume,long_short,taker_buy,taker_sell,funding_okx
2026-07-13T08:00:00+00:00,1783929600000,2620741024.5969,254636818.9712,1.62,118429036.961,136207782.0102,7.0183139456e-06
2026-07-13T09:00:00+00:00,1783933200000,2605533712.9118,252650680.2772,1.57,118584700.9909,134065979.2864,7.0183139456e-06
2026-07-13T10:00:00+00:00,1783936800000,2604003304.0132,109397541.1324,1.52,63181883.7293,46215512.3723,7.0183139456e-06
2026-07-13T11:00:00+00:00,1783940400000,2586342544.3722,195640085.8922,1.49,114429051.9583,81185256.7886,7.0183139456e-06
2026-07-13T12:00:00+00:00,1783944000000,2605255355.6854,157428349.1824,1.49,66495022.4887,90933326.6937,7.0183139456e-06
2026-07-13T13:00:00+00:00,1783947600000,2633018521.8374,287572151.8386,1.52,148460254.7142,138022985.7328,7.0183139456e-06
2026-07-13T14:00:00+00:00,1783951200000,2651925394.0558,600723917.1727,1.58,295433042.0598,300536896.9488,7.0183139456e-06
2026-07-13T15:00:00+00:00,1783954800000,2662083278.1337,574418713.0255,1.63,278594069.3911,294810375.7365,7.0183139456e-06
2026-07-13T16:00:00+00:00,1783958400000,2654169099.5592,273804217.7975,1.64,134672845.1616,139116295.4839,8.85517560254e-05
2026-07-13T17:00:00+00:00,1783962000000,2659566005.1643,331635943.0654,1.68,179750145.135,150954137.8826,8.85517560254e-05
2026-07-13T18:00:00+00:00,1783965600000,2590775001.2673,446746118.9548,1.71,252278407.4133,189626569.4451,8.85517560254e-05
2026-07-13T19:00:00+00:00,1783969200000,2617764487.0253,247949692.669,1.71,107267088.2247,139299733.7382,8.85517560254e-05
2026-07-13T20:00:00+00:00,1783972800000,2623218669.4942,137000609.5141,1.73,61958927.0559,75041676.2595,8.85517560254e-05
2026-07-13T21:00:00+00:00,1783976400000,2613660112.0792,122151279.8789,1.72,68971160.6225,52949591.4446,8.85517560254e-05
2026-07-13T22:00:00+00:00,1783980000000,2606309039.2497,112855617.2043,1.73,66440933.5261,46351399.9922,8.85517560254e-05
2026-07-13T23:00:00+00:00,1783983600000,2602104961.8155,106180159.9049,1.74,52176427.2873,54003732.6176,8.85517560254e-05
2026-07-14T00:00:00+00:00,1783987200000,2604916624.6305,133684525.7405,1.76,48293500.8111,85107998.0037,6.66043492605e-05
2026-07-14T01:00:00+00:00,1783990800000,2592874038.875,272623903.3812,1.77,115188837.5825,157435065.7987,6.66043492605e-05
2026-07-14T02:00:00+00:00,1783994400000,2591029422.3178,153231631.604,1.75,74934083.0051,78297548.5989,6.66043492605e-05
2026-07-14T03:00:00+00:00,1783998000000,2602264601.7335,151746585.7163,1.72,75575430.9253,76170492.2644,6.66043492605e-05
2026-07-14T04:00:00+00:00,1784001600000,2598666507.2241,115743641.7624,1.72,54935237.0332,60805199.1971,6.66043492605e-05
2026-07-14T05:00:00+00:00,1784005200000,2592413770.7213,156376267.9924,1.71,75562538.6693,80792755.2592,6.66043492605e-05
2026-07-14T06:00:00+00:00,1784008800000,2595890923.9097,204155319.6295,1.68,105979495.1628,98175742.9184,6.66043492605e-05
2026-07-14T07:00:00+00:00,1784012400000,2584432296.3938,160877832.3601,1.66,89496167.1328,71381665.2273,6.66043492605e-05
2026-07-14T08:00:00+00:00,1784016000000,2561102049.2036,166391331.1676,1.65,78908868.1956,87400115.9974,1.56977471317e-05
2026-07-14T09:00:00+00:00,1784019600000,2579224399.7701,127172466.9427,1.66,53644257.6577,73479376.2716,1.56977471317e-05
2026-07-14T10:00:00+00:00,1784023200000,2571860648.7762,83202030.1546,1.65,44706645.3218,38495384.8328,1.56977471317e-05
2026-07-14T11:00:00+00:00,1784026800000,2563741044.9062,146338250.5784,1.66,69304122.8665,77034127.7119,1.56977471317e-05
2026-07-14T12:00:00+00:00,1784030400000,2562329536.7284,136307139.1197,1.65,62550208.568,73756930.5517,1.56977471317e-05
2026-07-14T13:00:00+00:00,1784034000000,2564042830.9173,1531844968.6743,1.6,700734032.0086,831088388.6305,1.56977471317e-05
2026-07-14T14:00:00+00:00,1784037600000,2583032900.9382,720438896.6216,1.51,365436986.9324,354851332.0388,1.56977471317e-05
2026-07-14T15:00:00+00:00,1784041200000,2554808885.3923,644571876.694,1.46,282621606.8924,361184146.6093,1.56977471317e-05
2026-07-14T16:00:00+00:00,1784044800000,2519647782.8729,1312178792.826,1.37,594470993.1779,717703342.3793,7.99498182818e-05
