ts_utc,ts_ms,open_interest,contract_volume,long_short,taker_buy,taker_sell,funding_okx,funding_deribit
2026-08-01T01:00:00+00:00,1785546000000,2566168020.487,2766282.093,2.08,1682110.3585,1673876.0374,5.63193718496e-05,5.283906810941907e-07
2026-08-01T01:05:00+00:00,1785546300000,2567313937.255,3355986.3959,2.07,1832643.5054,1988909.2203,5.69441168562e-05,5.283380047430779e-07
2026-08-01T01:10:00+00:00,1785546600000,2567713559.89,3821552.7256,2.08,528893.235,1859118.0815,5.85872976228e-05,4.454585575875526e-07
2026-08-01T01:15:00+00:00,1785546900000,2568760241.8926,2388011.3165,2.08,1623584.2301,670705.9015,5.99230103677e-05,3.338649460124046e-07
2026-08-01T01:20:00+00:00,1785547200000,2569029958.7759,2294290.1317,2.08,5860735.2335,8507041.0602,6.10515598105e-05,3.338988094722454e-07
2026-08-01T01:25:00+00:00,1785547500000,2574961934.5757,14367776.2937,2.08,6095783.1359,8177114.7767,6.14146151614e-05,2.4177658804981104e-07
2026-08-01T01:30:00+00:00,1785547800000,2574981789.3379,14272897.9127,2.08,2580821.9034,841060.3273,6.19489078706e-05,3.2484555693199615e-07
2026-08-01T01:40:00+00:00,1785548400000,2574214088.9521,2159944.2567,2.08,1503659.9884,656284.2683,6.26495476002e-05,2.9215680554743506e-07
2026-08-01T01:45:00+00:00,1785548700000,2575575037.2308,3269600.3099,2.08,1711791.0793,1557809.2306,6.37315593422e-05,2.934730774206901e-07
2026-08-01T01:50:00+00:00,1785549000000,2575424829.4943,1937634.6725,2.08,1048898.9059,888735.7666,6.34160657192e-05,2.6765382382367224e-07
2026-08-01T01:55:00+00:00,1785549300000,2575473511.4199,1650918.0967,2.08,1112516.8491,538401.2476,6.37871783898e-05,3.821779715841137e-07
2026-08-01T02:00:00+00:00,1785549600000,2575840790.5159,4270310.6964,2.08,1214838.2655,3055472.4308,6.47310731267e-05,3.6695137779363277e-07
2026-08-01T02:05:00+00:00,1785549900000,2575399453.5607,3034664.9474,2.08,1109625.6908,1925039.2566,6.5052271204e-05,3.670417147586055e-07
