time,open,high,low,close,tick_volume,spread,real_volume
1785627780,62747.11,62747.44,62732.71,62734.79,60,1000,0
1785627840,62731.99,62769.99,62716.07,62759.84,75,1000,0
1785627900,62757.75,62781.16,62752.01,62755.88,67,1000,0
1785627960,62755.52,62766.59,62755.52,62760.79,52,1000,0
1785628020,62760.45,62771.5,62747.57,62769.96,51,1000,0
1785628080,62768.75,62779.31,62764.98,62773.26,60,1000,0
1785628140,62770.97,62777.89,62757.47,62757.67,59,1000,0
1785628200,62757.69,62762.48,62749.74,62760.78,54,1000,0
1785628260,62761.16,62761.16,62744.04,62756.57,47,1000,0
1785628320,62756.61,62762.53,62749.28,62759.32,60,1000,0
1785628380,62758.27,62758.27,62743.3,62748.75,58,1000,0
1785628440,62748.51,62760.13,62748.51,62755.82,57,1000,0
1785628500,62755.94,62760.09,62750.52,62757.58,50,1000,0
1785628560,62760.33,62763.47,62752.42,62759.37,54,1000,0
1785628620,62759.67,62761.28,62757.28,62760.42,54,1000,0
1785628680,62759.55,62761.49,62753.48,62756.92,56,1000,0
1785628740,62755.68,62759.78,62753.22,62756.83,57,1000,0
1785628800,62757.25,62780.01,62757.25,62775.73,66,1000,0
1785628860,62775.69,62801.84,62775.6,62801.06,62,1000,0
1785628920,62795.13,62801.28,62777.24,62784.81,58,1000,0
1785628980,62783.02,62836.53,62783.01,62829.83,71,1000,0
1785629040,62833.39,62837.15,62817.44,62829.71,64,1000,0
1785629100,62825.75,62847.14,62825.65,62835.96,63,1000,0
1785629160,62838.34,62849.77,62825.61,62830.79,59,1000,0
1785629220,62828.62,62831.23,62820.67,62828.81,58,1000,0
1785629280,62826.45,62848.33,62825.84,62840.17,57,1000,0
1785629340,62840.12,62855.37,62830.95,62848.04,57,1000,0
1785629400,62848.01,62892.53,62843.11,62875.3,85,1000,0
1785629460,62874.35,62917.02,62862.32,62889.75,83,1000,0
1785629520,62890.95,62906.88,62867.52,62902.98,78,1000,0
1785629580,62900.57,62905.25,62898.63,62901.01,55,1000,0
1785629640,62899.95,62903.27,62858.07,62869.87,69,1000,0
1785629700,62867.32,62870.58,62858.32,62858.32,55,1000,0
1785629760,62858.32,62873.73,62858.26,62873.38,53,1000,0
1785629820,62872.97,62872.97,62861.24,62865.9,53,1000,0
1785629880,62865.86,62868.76,62854.71,62854.71,57,1000,0
1785629940,62853.02,62869.12,62850.94,62862.74,58,1000,0
1785630000,62862.72,62873.1,62858.32,62861.78,53,1000,0
1785630060,62860.98,62865.23,62845.94,62845.94,50,1000,0
1785630120,62845.93,62854.23,62845.93,62852.97,55,1000,0
1785630180,62851.84,62858.85,62842.15,62853.9,57,1000,0
1785630240,62854.12,62882.19,62843.61,62848.5,76,1000,0
1785630300,62847.78,62849.71,62838.86,62838.86,54,1000,0
1785630360,62842.15,62845.24,62822.42,62824.94,65,1000,0
1785630420,62823.2,62830.16,62821.46,62830.16,50,1000,0
1785630480,62830.17,62831.13,62812.01,62815.83,57,1000,0
1785630540,62816.49,62824.53,62814.36,62824.53,41,1000,0
1785630600,62824.53,62830.28,62813.39,62824.36,61,1000,0
1785630660,62822.64,62831.71,62822.44,62830.81,56,1000,0
1785630720,62830.81,62834.27,62820.5,62825.2,56,1000,0
1785630780,62826.31,62840.3,62821.08,62838.4,53,1000,0
1785630840,62836.6,62853.26,62814.81,62815.39,60,1000,0
1785630900,62814.6,62815.45,62790.48,62794.14,59,1000,0
1785630960,62794.19,62801.9,62793.47,62801.9,53,1000,0
1785631020,62801.91,62801.97,62787.48,62794.8,48,1000,0
1785631080,62794.98,62797.45,62785.4,62790.75,58,1000,0
1785631140,62790.44,62795.28,62788.38,62792.15,55,1000,0
1785631200,62792.7,62804.61,62792.01,62804.61,57,1000,0
1785631260,62803.91,62806.13,62792.58,62796.77,55,1000,0
1785631320,62796.75,62799.31,62788.31,62799.27,53,1000,0
1785631380,62799.27,62805.74,62797.01,62805.42,51,1000,0
1785631440,62805.44,62809.07,62780.92,62781.42,58,1000,0
1785631500,62786.79,62801.13,62786.79,62797.39,58,1000,0
1785631560,62797.31,62804.16,62789.33,62794.12,55,1000,0
1785631620,62795.58,62799.24,62794.04,62795.15,54,1000,0
1785631680,62796.51,62797.29,62782.73,62790.65,58,1000,0
1785631740,62790.65,62790.65,62770.46,62772.94,66,1000,0
1785631800,62774.57,62779.22,62766.87,62776.42,51,1000,0
1785631860,62778.45,62779.31,62765.19,62770.12,54,1000,0
1785631920,62772.16,62772.96,62748.16,62759.05,58,1000,0
1785631980,62756.33,62761.05,62753.34,62756.49,54,1000,0
1785632040,62756.2,62758.92,62744.28,62748.85,54,1000,0
1785632100,62745.83,62753.26,62743.53,62743.53,55,1000,0
1785632160,62739.53,62775.31,62739.53,62774.54,69,1000,0
1785632220,62768.23,62776.02,62763.74,62764.99,56,1000,0
1785632280,62766.82,62771.58,62750.17,62757.04,57,1000,0
1785632340,62754.99,62776.31,62752.18,62768.29,60,1000,0
1785632400,62770.73,62786.36,62770.73,62779.82,58,1000,0
1785632460,62778.99,62781.06,62773.22,62778.85,55,1000,0
1785632520,62778.74,62801.95,62776.45,62801.89,61,1000,0
1785632580,62798.4,62802.43,62790.77,62800.01,51,1000,0
1785632640,62802.05,62806.3,62794.48,62798.27,55,1000,0
1785632700,62798.39,62822.0,62796.38,62817.17,54,1000,0
1785632760,62818.16,62855.56,62812.11,62855.56,73,1000,0
1785632820,62854.14,62855.42,62842.97,62851.1,44,1000,0
1785632880,62852.38,62852.38,62836.79,62843.69,48,1000,0
1785632940,62845.19,62860.45,62842.0,62856.96,47,1000,0
1785633000,62862.01,62889.88,62848.68,62881.69,65,1000,0
1785633060,62881.68,62884.4,62862.07,62869.78,58,1000,0
1785633120,62869.78,62872.84,62869.78,62870.66,48,1000,0
1785633180,62871.15,62897.65,62871.15,62897.65,68,1000,0
1785633240,62894.11,62964.12,62888.1,62942.48,79,1000,0
1785633300,62936.96,63027.87,62936.96,62999.62,121,1000,0
1785633360,62999.41,62999.41,62952.99,62952.99,73,1000,0
1785633420,62951.7,62961.28,62942.31,62955.74,60,1000,0
1785633480,62951.22,62955.19,62936.36,62938.65,59,1000,0
1785633540,62937.96,62940.1,62923.76,62940.1,63,1000,0
1785633600,62936.09,62946.48,62929.82,62937.44,55,1000,0
1785633660,62937.45,62937.45,62900.78,62900.78,59,1000,0
1785633720,62904.02,62924.65,62904.02,62921.67,60,1000,0
1785633780,62918.47,62924.17,62904.62,62913.68,59,1000,0
1785633840,62911.91,62916.85,62904.55,62906.27,50,1000,0
1785633900,62906.66,62919.92,62904.44,62919.92,59,1000,0
1785633960,62917.68,62920.12,62912.23,62919.03,56,1000,0
1785634020,62918.25,62926.14,62913.44,62918.18,54,1000,0
1785634080,62919.65,62922.14,62913.3,62920.86,56,1000,0
1785634140,62920.26,62924.41,62910.96,62912.01,54,1000,0
1785634200,62912.21,62914.26,62901.47,62906.39,51,1000,0
1785634260,62906.9,62919.92,62902.08,62919.66,55,1000,0
1785634320,62919.64,62933.07,62907.29,62926.58,59,1000,0
1785634380,62927.17,62935.28,62922.12,62927.8,56,1000,0
1785634440,62929.27,62941.48,62913.46,62941.48,62,1000,0
1785634500,62944.72,62953.42,62929.83,62950.62,56,1000,0
1785634560,62950.52,62956.51,62944.07,62950.75,56,1000,0
1785634620,62950.26,62955.14,62937.14,62941.49,55,1000,0
1785634680,62941.51,62948.74,62941.51,62947.43,51,1000,0
1785634740,62947.06,62949.81,62942.82,62944.99,51,1000,0
1785634800,62945.34,62950.34,62943.03,62945.08,51,1000,0
1785634860,62945.81,62947.33,62940.78,62940.78,50,1000,0
1785634920,62940.77,62961.15,62931.45,62943.47,65,1000,0
1785634980,62944.4,62954.23,62944.4,62947.61,49,1000,0
1785635040,62947.62,62955.58,62943.34,62943.8,48,1000,0
1785635100,62946.44,62946.44,62932.14,62934.38,61,1000,0
1785635160,62938.87,62939.69,62931.84,62932.21,53,1000,0
1785635220,62933.28,62938.95,62926.85,62932.65,52,1000,0
1785635280,62933.57,62938.81,62931.29,62935.28,55,1000,0
1785635340,62933.53,62937.15,62913.97,62918.29,62,1000,0
1785635400,62919.2,62926.62,62918.06,62921.12,57,1000,0
1785635460,62921.52,62925.13,62917.01,62922.12,57,1000,0
1785635520,62922.32,62924.44,62913.23,62919.31,56,1000,0
1785635580,62916.52,62936.72,62913.51,62936.63,58,1000,0
1785635640,62935.45,62935.45,62917.89,62918.65,57,1000,0
1785635700,62922.16,62934.12,62922.09,62922.88,59,1000,0
1785635760,62924.77,62946.02,62922.02,62938.47,61,1000,0
1785635820,62936.93,62944.76,62934.25,62944.44,59,1000,0
1785635880,62944.02,62944.02,62932.64,62934.91,58,1000,0
1785635940,62935.74,62936.84,62911.67,62918.19,67,1000,0
1785636000,62915.81,62923.45,62910.6,62910.6,58,1000,0
1785636060,62909.15,62915.94,62905.03,62911.63,59,1000,0
1785636120,62908.21,62917.73,62908.21,62912.87,57,1000,0
1785636180,62912.88,62917.1,62878.52,62889.53,68,1000,0
1785636240,62889.91,62904.72,62889.91,62891.52,59,1000,0
1785636300,62893.93,62926.54,62889.76,62926.4,65,1000,0
1785636360,62924.05,63208.85,62916.22,63173.65,230,1000,0
1785636420,63187.45,63395.61,63145.31,63358.79,406,1000,0
1785636480,63360.34,63488.13,63289.03,63326.92,310,1000,0
1785636540,63327.11,63337.9,63278.27,63327.73,115,1000,0
1785636600,63323.6,63401.88,63300.43,63315.61,149,1000,0
1785636660,63313.89,63347.36,63305.27,63305.86,128,1000,0
1785636720,63307.33,63334.04,63282.41,63285.66,115,1000,0
1785636780,63287.83,63349.35,63286.03,63349.21,100,1000,0
1785636840,63349.15,63398.86,63340.07,63394.41,130,1000,0
1785636900,63393.15,63475.03,63349.38,63352.18,148,1000,0
1785636960,63353.01,63424.44,63353.01,63372.9,123,1000,0
1785637020,63369.2,63380.96,63322.65,63380.47,118,1000,0
1785637080,63381.28,63422.12,63381.28,63411.29,111,1000,0
1785637140,63411.27,63470.61,63371.56,63444.16,131,1000,0
1785637200,63458.01,63491.0,63416.77,63425.6,147,1000,0
1785637260,63426.07,63442.98,63388.68,63400.58,94,1000,0
1785637320,63400.59,63409.24,63348.93,63358.07,93,1000,0
1785637380,63358.77,63418.94,63358.77,63410.22,98,1000,0
1785637440,63410.2,63465.1,63410.17,63456.25,79,1000,0
1785637500,63456.35,63461.84,63363.82,63378.46,100,1000,0
1785637560,63370.47,63396.24,63367.24,63385.3,89,1000,0
1785637620,63384.3,63401.49,63369.84,63386.42,64,1000,0
1785637680,63389.02,63393.06,63348.85,63348.85,71,1000,0
1785637740,63346.01,63356.53,63332.69,63335.97,62,1000,0
1785637800,63339.93,63383.27,63315.17,63376.41,96,1000,0
1785637860,63380.47,63398.07,63349.83,63351.41,77,1000,0
1785637920,63352.15,63384.71,63325.78,63370.19,96,1000,0
1785637980,63372.4,63392.62,63356.51,63392.17,89,1000,0
1785638040,63389.92,63389.92,63352.84,63359.2,71,1000,0
1785638100,63360.61,63368.48,63338.76,63347.87,83,1000,0
1785638160,63349.85,63360.19,63325.64,63341.63,67,1000,0
1785638220,63341.84,63341.84,63314.1,63316.77,60,1000,0
1785638280,63315.98,63327.9,63282.67,63284.66,89,1000,0
1785638340,63286.05,63309.45,63276.69,63309.45,80,1000,0
1785638400,63307.72,63317.05,63293.67,63306.86,69,1000,0
1785638460,63306.88,63306.88,63254.45,63266.05,79,1000,0
1785638520,63267.86,63305.04,63267.6,63288.83,75,1000,0
1785638580,63291.38,63329.21,63271.41,63310.11,74,1000,0
1785638640,63309.65,63321.44,63305.22,63319.03,60,1000,0
1785638700,63318.44,63319.2,63301.12,63306.22,57,1000,0
1785638760,63305.97,63308.95,63269.66,63284.66,64,1000,0
1785638820,63284.66,63314.47,63273.42,63311.22,67,1000,0
1785638880,63308.31,63387.43,63307.19,63368.57,98,1000,0
1785638940,63368.55,63377.88,63348.28,63373.73,68,1000,0
1785639000,63376.56,63376.56,63342.64,63349.31,63,1000,0
1785639060,63350.99,63354.64,63318.56,63319.94,68,1000,0
1785639120,63321.03,63377.62,63321.03,63363.28,80,1000,0
1785639180,63362.77,63385.69,63362.77,63371.51,68,1000,0
1785639240,63372.08,63421.5,63370.77,63404.89,66,1000,0
1785639300,63402.27,63414.53,63372.27,63372.27,64,1000,0
1785639360,63373.23,63385.07,63366.39,63366.39,65,1000,0
1785639420,63366.43,63375.67,63355.01,63366.62,65,1000,0
1785639480,63365.61,63379.61,63354.27,63361.16,65,1000,0
1785639540,63360.73,63388.69,63350.67,63385.35,64,1000,0
1785639600,63382.74,63390.61,63349.83,63350.85,71,1000,0
1785639660,63353.53,63369.52,63348.31,63367.72,59,1000,0
1785639720,63362.82,63392.35,63357.68,63388.57,64,1000,0
1785639780,63388.49,63388.49,63341.08,63343.83,87,1000,0
1785639840,63344.53,63344.53,63325.9,63339.84,66,1000,0
1785639900,63339.81,63356.19,63329.98,63347.05,66,1000,0
1785639960,63346.63,63365.28,63335.15,63350.67,83,1000,0
1785640020,63350.12,63371.27,63347.23,63367.46,60,1000,0
1785640080,63363.76,63363.76,63329.89,63340.03,69,1000,0
1785640140,63344.68,63344.68,63321.57,63327.06,75,1000,0
1785640200,63327.09,63344.86,63318.14,63335.96,69,1000,0
1785640260,63336.24,63344.01,63320.88,63323.43,67,1000,0
1785640320,63324.73,63324.73,63307.77,63312.85,70,1000,0
1785640380,63312.89,63345.38,63310.12,63333.97,56,1000,0
1785640440,63335.12,63353.35,63330.01,63344.33,50,1000,0
1785640500,63343.29,63345.88,63322.79,63329.93,60,1000,0
1785640560,63327.98,63343.62,63314.01,63321.38,65,1000,0
1785640620,63319.43,63328.46,63310.27,63326.85,66,1000,0
1785640680,63325.39,63325.39,63299.26,63311.79,57,1000,0
1785640740,63312.75,63372.6,63310.39,63364.06,75,1000,0
1785640800,63362.73,63369.24,63335.18,63368.27,77,1000,0
1785640860,63368.62,63486.41,63365.57,63450.54,123,1000,0
1785640920,63453.72,63459.13,63435.73,63437.95,68,1000,0
1785640980,63437.98,63456.88,63433.86,63440.14,65,1000,0
1785641040,63442.16,63442.63,63410.3,63427.09,70,1000,0
